IDCLI;IDVENDEDOR;PCOD;QTDVENDA;MVALOR3;VLVENDA;TENDENCIA;QP_AMAIS;QP_AMENOS;VB1;VB2;V_AMAIS;V_AMENOS;V_META;V_PROJ;TENDENCIA;A1A2;Q1;Q2;Q3;Q4;Q1A;Q2A;Q3A;Q4A;V1;V2;V3;V4;V1A;V2A;V3A;V4A
306;13;1201;4;51.12;87.74;"2";8;0;0;175.48;175.48;0;87.74;87.74;"2";"-";0;0;0;4;0;0;0;0;0;0;0;87.74;0;0;0;0
310;25;3357;6;97.02;252.90;"2";12;0;0;505.80;505.80;0;252.90;252.90;"2";"-";0;0;0;6;0;0;0;0;0;0;0;252.90;0;0;0;0
313;54;72;3;29.70;56.39;"2";6;0;0;112.78;112.78;0;56.39;56.39;"2";"-";0;0;0;3;0;0;0;0;0;0;0;56.39;0;0;0;0
313;54;175;2;45.78;80.66;"2";4;0;0;161.32;161.32;0;80.66;80.66;"2";"-";0;0;0;2;0;0;0;0;0;0;0;80.66;0;0;0;0
313;54;372;1;26.20;47.40;"2";2;0;0;94.80;94.80;0;47.40;47.40;"2";"-";0;0;0;1;0;0;0;0;0;0;0;47.40;0;0;0;0
313;54;373;1;26.20;47.41;"2";2;0;0;94.82;94.82;0;47.41;47.41;"2";"-";0;0;0;1;0;0;0;0;0;0;0;47.41;0;0;0;0
313;54;374;1;26.20;47.41;"2";2;0;0;94.82;94.82;0;47.41;47.41;"2";"-";0;0;0;1;0;0;0;0;0;0;0;47.41;0;0;0;0
316;54;1193;4;60.48;90.72;"2";8;0;0;181.44;181.44;0;90.72;90.72;"2";"-";0;0;0;4;0;0;0;0;0;0;0;90.72;0;0;0;0
316;54;1201;3;38.34;65.52;"2";6;0;0;131.04;131.04;0;65.52;65.52;"2";"-";0;0;0;3;0;0;0;0;0;0;0;65.52;0;0;0;0
316;54;1227;3;57.75;94.50;"2";6;0;0;189;189;0;94.50;94.50;"2";"-";0;0;0;3;0;0;0;0;0;0;0;94.50;0;0;0;0
323;3;171;2;99.12;131.18;"2";4;0;0;262.36;262.36;0;131.18;131.18;"2";"-";0;0;0;2;0;0;0;0;0;0;0;131.18;0;0;0;0
323;3;496;1;102.56;146.44;"2";2;0;0;292.88;292.88;0;146.44;146.44;"2";"-";0;0;0;1;0;0;0;0;0;0;0;146.44;0;0;0;0
323;3;497;1;94.46;146.44;"2";2;0;0;292.88;292.88;0;146.44;146.44;"2";"-";0;0;0;1;0;0;0;0;0;0;0;146.44;0;0;0;0
323;3;498;1;102.56;146.44;"2";2;0;0;292.88;292.88;0;146.44;146.44;"2";"-";0;0;0;1;0;0;1;0;0;0;0;146.44;0;0;126.87;0
333;15;36;1;17.28;28.14;"2";2;0;0;56.28;56.28;0;28.14;28.14;"2";"-";0;0;0;1;0;1;2;0;0;0;0;28.14;0;42.19;84.19;0
