IDVENDEDOR;PCOD;QTDVENDA;MVALOR3;VLVENDA;TENDENCIA;QP_AMAIS;QP_AMENOS;VB1;VB2;V_AMAIS;V_AMENOS;V_META;V_PROJ;TENDENCIA;A1A2;Q1;Q2;Q3;Q4;Q1A;Q2A;Q3A;Q4A;V1;V2;V3;V4;V1A;V2A;V3A;V4A
0;320;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;336;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;338;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;344;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;2;0;0;0;0;0;0;0;37.86;0;0
0;350;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;1;0;0;0;0;0;0;0;75.02;0;0
0;371;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;2;0;2;0;0;0;0;0;79.80;0;70.06;0
0;372;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;2;0;1;0;0;0;0;0;79.80;0;35.02;0
0;373;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;5;1;0;0;0;0;0;0;224.86;35.02;0
0;374;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;6;2;1;0;0;0;0;0;239.40;89.94;35.02;0
0;375;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;6;0;0;0;0;0;0;0;257.40;0;0;0
0;382;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;6;0;0;0;0;0;0;0;126.64;0;0;0
0;388;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;2;0;0;0;0;0;0;0;120;0;0
0;389;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;2;0;0;0;0;0;0;0;116.55;0;0;0
0;390;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;2;2;0;0;0;0;0;0;116.54;120;0;0
0;408;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;6;12;0;0;0;0;0;0;181.16;406.80;0;0
0;409;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;12;0;0;0;0;0;0;0;262.80;0;0
0;412;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;1;0;0;0;0;0;0;0;46.19;0;0;0
0;413;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;22;0;2;0;0;0;0;0;838.04;0;90.07;0
0;414;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;20;13;0;0;0;0;0;0;758;518.76;0;0
0;416;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;6;0;0;0;0;0;0;0;239.40;0;0
0;417;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;23;7;2;0;0;0;0;0;878.19;279.36;90.07;0
0;418;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;23;1;0;0;0;0;0;0;878.19;39.96;0;0
0;419;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;4;0;0;0;0;0;0;0;91.75;0;0
0;441;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;7;1;0;0;0;0;0;0;454.40;57.10;0
0;442;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;6;1;0;0;0;0;0;0;389.40;57.10;0
0;443;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;6;0;0;0;0;0;0;0;389.40;0;0
0;444;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;6;0;0;0;0;0;0;0;389.40;0;0
0;451;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;9;0;0;0;0;0;0;0;323.10;0;0
0;457;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;3;0;0;0;0;0;0;0;254.70;0;0;0
0;459;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;7;0;0;0;0;0;0;0;594.84;0;0;0
0;462;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;2;0;0;0;0;0;0;0;279.80;0;0
0;463;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;465;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;3;0;0;0;0;0;0;0;389.70;0;0
0;467;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;3;0;0;0;0;0;0;0;389.70;0;0
0;468;0;0;0;"5";0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;3;0;0;0;0;0;0;0;179.70;0;0
