FLOJA;IDPEDIDO;SI_CAIXA;SI_NUMFECH;FVALDEV;FDESCONTO;FSUBSIDIO;FCOMISSAO;FVALLOCA;FGDEV;FCODOP;FG_FAT;FTV;FTIPOVEN;FTIPODIG;COD_MOD;FVALES;FVALCH;FVALCT;FVALCV;FVALCA;FCARTAO
1;"L1P20520";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;202.38;1
1;"L1P20527";1;1;0;0;0;0;0;"V";"5.102";"S";"";"5";"M";"55";0;0;0;0;336.78;1
1;"L1V20521";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;2006.82;1
1;"L1V20529";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;169.14;1
1;"L1P20509";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;276.30;1
1;"L1P20528";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;448.40;0;0;1
1;"L1V20531";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;231;1
1;"L1V20530";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;563.84;1
1;"L1P20533";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;74.49;1
1;"L1V20534";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;326.07;1
1;"L1P20532";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;558.15;1
1;"L1P20541";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;818.54;1
1;"L1P20539";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;321.15;0;0;1
1;"L1V20537";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;1574.43;1
1;"L1P20536";1;1;0;76.14;0;0;0;"V";"6.102";"S";"S";"5";"V";"55";0;0;0;0;1292.80;1
1;"L1V20545";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;502.40;1
1;"L1P20542";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;0;0;936.40;1
1;"L1V20546";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;336.78;1
1;"L1V20544";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;495.01;1
1;"L1P20549";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;419.50;0;0;1
1;"L1V20548";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;209.40;1
1;"L1V20550";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;1705.23;1
1;"L1V20547";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;1448.95;1
1;"L1P20552";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;363.60;0;0;1
1;"L1V20551";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;311.30;1
1;"L1V20558";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;392.40;1
1;"L1V20556";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;317.10;1
1;"L1P20543";1;1;0;0.00;0;0;0;"V";"5.102";"S";"S";"5";"M";"55";0;0;238.79;0;0;1
1;"L1V20565";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;283.50;1
1;"L1P20562";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;415.52;1
1;"L1V20538";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;445.30;1
1;"L1V20563";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;371.12;1
1;"L1V20560";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;267.60;0;0;1
1;"L1V20569";1;1;0;0;0;0;0;"V";"5.102";"S";"S";"5";"V";"55";0;0;0;0;1735.80;1
